differing_column,row1_index,row2_index,condition_case
Formula Additive 1,14391,17718,row2
Formula Additive 1,14391,17733,row2
Formula Additive 1,14391,17740,row2
Formula Additive 1,14409,17718,row1
Formula Additive 1,14409,17733,row1
Formula Additive 1,14409,17740,row1
Formula Additive 1,14409,17830,row1
Formula Additive 1,15955,16761,row2
Formula Additive 1,16507,16761,row2
Formula Additive 1,16761,18196,row1
Formula Additive 1,16761,18243,row1
Formula Additive 1,15955,16991,row2
Formula Additive 1,14852,16761,row2
Formula Additive 1,16761,18187,row1
Formula Additive 1,16761,18199,row1
Formula Additive 1,14852,16991,row2
Formula Additive 1,16991,18187,row1
Formula Additive 1,16991,18199,row1
Formula Additive 1,16761,17718,row1
Formula Additive 1,16761,17733,row1
Formula Additive 1,16761,17740,row1
Formula Additive 1,16761,17830,row1
Formula Additive 1,16991,17733,row1
Formula Additive 1,14852,16507,row2
Formula Additive 1,16507,18187,row1
Formula Additive 1,16507,18199,row1
Formula Additive 1,18187,18196,row2
Formula Additive 1,14852,18243,row2
Formula Additive 1,18187,18243,row2
Formula Additive 1,18199,18243,row2
Formula Additive 1,14852,18254,row2
Formula Additive 1,18187,18254,row2
Formula Additive 1,18199,18254,row2
Formula Additive 1,15955,17718,row2
Formula Additive 1,15955,17733,row2
Formula Additive 1,15955,17740,row2
Formula Additive 1,16507,17718,row1
Formula Additive 1,16507,17733,row1
Formula Additive 1,16507,17740,row1
Formula Additive 1,16507,17830,row1
Formula Additive 1,17718,18196,row1
Formula Additive 1,17830,18196,row1
Formula Additive 1,17740,18243,row2
Formula Additive 1,17830,18243,row2
Formula Additive 1,17718,18254,row2
Formula Additive 1,17740,18254,row2
Formula Additive 1,17830,18254,row2
Formula Additive 1,14852,17718,row2
Formula Additive 1,14852,17740,row2
Formula Additive 1,17718,18187,row1
Formula Additive 1,17740,18187,row1
Formula Additive 1,17830,18187,row1
Formula Additive 1,17718,18199,row1
Formula Additive 1,17733,18199,row1
Formula Additive 1,18994,21113,row2
Formula Additive 1,21113,22814,row1
Formula Additive 1,18994,21639,row2
Formula Additive 1,21639,22814,row1
Formula Additive 1,18871,21666,row1
Formula Additive 1,17406,18311,row2
Formula Additive 1,16516,17406,row1
Formula Additive 1,16516,17434,row1
Formula Additive 1,17406,17571,row2
Formula Additive 1,19319,19419,row1
Formula Additive 1,19319,24319,row1
Formula Additive 1,19319,29343,row1
Formula Additive 1,19319,30481,row1
Formula Additive 1,19319,31481,row1
Formula Additive 1,14697,7024,row2
Formula Additive 1,12896,14697,row1
Formula Additive 1,16623,7024,row2
Formula Additive 1,16627,7024,row2
Formula Additive 1,16650,7024,row2
Formula Additive 1,18558,7024,row2
Formula Additive 1,12896,16623,row1
Formula Additive 1,12896,16627,row1
Formula Additive 1,12896,18558,row1
Formula Additive 1,14736,7024,row2
Formula Additive 1,14750,7024,row2
Formula Additive 1,15654,7024,row2
Formula Additive 1,12896,14736,row1
Formula Additive 1,12896,15654,row1
Formula Additive 1,17522,7024,row2
Formula Additive 1,17541,7024,row2
Formula Additive 1,12896,17522,row1
Formula Additive 1,12896,17541,row1
Formula Additive 1,14697,16650,row2
Formula Additive 1,14697,18558,row2
Formula Additive 1,14697,14736,row2
Formula Additive 1,14697,14750,row2
Formula Additive 1,14697,15654,row2
Formula Additive 1,14697,17522,row2
Formula Additive 1,14697,17541,row2
Formula Additive 1,14736,16623,row1
Formula Additive 1,14750,16623,row1
Formula Additive 1,15654,16623,row1
Formula Additive 1,14736,16627,row1
Formula Additive 1,14750,16627,row1
Formula Additive 1,15654,16627,row1
Formula Additive 1,14736,18558,row1
