Date,Data volume,Feature size,Features,Algorithm,Seed,TrainR2_ave,TrainMSE_ave,CvR2_ave,CvMSE_ave,TestR2_ave,TestMSE_ave,TrainR2_std,TrainMSE_std,CvR2_std,CvMSE_std,TestR2_std,TestMSE_std,target,hyper_params,TestR2,TestMSE
20250612,3096,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",xgb,"9803, 9832, 9477, 2834, 8329, 9830, 6019, 6694, 538, 4267",0.8519,5.1864,0.6309,12.9062,0.6467,12.0377,0.03,0.92,0.01,0.33,0.03,0.97,FF,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}","0.6247938683342463, 0.6241005654488392, 0.6784680633163392, 0.6705777771256168, 0.6156670740865535, 0.6251349190232394, 0.6423294133741757, 0.6157725221577244, 0.6937718181859371, 0.6765724645029785","13.244287350165235, 12.508507270533844, 10.819980925638072, 10.487865805746171, 12.57236461321567, 12.764120181057098, 12.51127837479543, 13.022564004326727, 10.731790810466931, 11.714468873848933"
20250612,3096,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",svr,"9197, 2993, 1854, 9946, 2699, 4298, 650, 8670, 889, 5028",0.5621,15.3075,0.5138,16.9591,0.5347,16.1044,0.01,0.31,0.01,0.32,0.03,1.24,FF,default,"0.550621421053821, 0.5435628863616782, 0.5476509553775909, 0.5549516702050825, 0.47665856020956054, 0.5569124834217845, 0.5028271758356092, 0.5194200959779434, 0.5330559925921952, 0.5609397504550222","15.11876520244508, 15.618924326756625, 15.543403692377163, 14.549739471020741, 18.235874819448217, 14.69780698960242, 18.044567412965655, 17.036944753660237, 16.511104633164184, 15.686465682909775"
20250612,3096,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",mlp,"7814, 7371, 9179, 7341, 5430, 2440, 5501, 4634, 2530, 5569",0.5887,14.397,0.3703,21.8847,-0.0002,34.0573,0.03,1.02,0.1,3.18,1.41,47.39,FF,default,"0.5414166250496153, -4.218296927653334, 0.5105681424672749, 0.45673154840571195, 0.47729736115988475, 0.38675644865489245, 0.4176407623470739, 0.5151607896041834, 0.4601719301494456, 0.45101937090848654","15.986060057766753, 176.17245229212247, 16.0192945194344, 18.43504834897322, 19.091178490340667, 20.21702073610977, 19.64369414910889, 16.97969421292616, 19.450939396536114, 18.577461968916868"
20250612,3096,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",lr,"3482, 8711, 369, 6157, 624, 9366, 2769, 6434, 7063, 1471",0.5022,17.3928,0.4758,18.2904,0.4564,18.8484,0.01,0.38,0.01,0.48,0.08,2.57,FF,default,"0.47045299808782837, 0.24037477589666156, 0.4898574387860254, 0.4690614978223977, 0.5318171481329145, 0.4651150010428703, 0.48637510030955, 0.5009197961255698, 0.45828846767906284, 0.451928575441516","17.653200706937007, 25.35100727154382, 16.812103338038117, 18.801298008000483, 15.411919182472232, 17.706244985802716, 18.896284823254522, 17.76553430994106, 19.277686846851942, 20.809022918783814"
