Date,Data volume,Feature size,Features,Algorithm,Seed,TrainR2_ave,TrainMSE_ave,CvR2_ave,CvMSE_ave,TestR2_ave,TestMSE_ave,TrainR2_std,TrainMSE_std,CvR2_std,CvMSE_std,TestR2_std,TestMSE_std,target,hyper_params,TestR2,TestMSE
20250612,3126,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",xgb,"9759, 4475, 7828, 7518, 7085, 6451, 5251, 9666, 5312, 3028",0.8586,0.5784,0.7292,1.1082,0.7401,1.0403,0.01,0.03,0.01,0.03,0.02,0.09,Jsc,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}","0.7463773043378538, 0.7349263923252316, 0.7391430656526443, 0.740477684197809, 0.7486192479064075, 0.7692529814913927, 0.7471620543447979, 0.7308923459075473, 0.757100060423393, 0.6874257417113774","1.1580479377709538, 0.962910513328355, 1.0321857774150718, 1.0079027787431325, 0.9942397226325315, 0.9641255803060088, 1.0834041596329915, 1.0493010311856994, 0.9304811601550674, 1.2203541861108067"
20250612,3126,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",svr,"3727, 9851, 2187, 2903, 8544, 8427, 8052, 2331, 519, 4697",0.731,1.0946,0.6867,1.2739,0.7019,1.2189,0.01,0.03,0.01,0.04,0.03,0.17,Jsc,default,"0.6952172087470403, 0.6732784759237074, 0.6986153866503533, 0.7108688148608344, 0.7352051903783654, 0.745420294201199, 0.691738535075306, 0.6894178849660693, 0.7204035907023593, 0.6592764325014215","1.2508754567865872, 1.6001475606612692, 1.074467973187602, 1.1139099356111668, 1.0504945915053518, 1.0996810110187742, 1.2742723415534036, 1.1925813793696756, 1.1157458429017855, 1.4166916445635542"
20250612,3126,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",mlp,"966, 398, 5988, 3257, 2141, 1959, 1853, 9037, 9214, 9364",0.7489,1.0271,0.4133,2.402,-0.7001,7.3178,0.02,0.09,0.34,1.41,3.96,17.48,Jsc,default,"0.5975725505711236, 0.6505397059116274, 0.5986438943758214, 0.60152097029408, 0.5896544764029625, 0.6305527102748196, 0.6406951553928464, -12.582446588768349, 0.6281706256884739, 0.6438815551167877","1.6166931191617002, 1.3639334356981687, 1.4056695625848536, 1.4994549620072548, 1.3184052826803403, 1.3637712164277522, 1.6393426959276336, 59.76232517430152, 1.829178272326551, 1.3789580830675119"
20250612,3126,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",lr,"2734, 4600, 7679, 8816, 7318, 2450, 8297, 6443, 2208, 1712",0.6776,1.3145,0.6551,1.4026,0.6571,1.3904,0.0,0.03,0.01,0.05,0.02,0.13,Jsc,default,"0.6826176601232701, 0.6547489656576013, 0.6726587433837641, 0.6425481079539159, 0.6357445004344076, 0.6795125404839948, 0.6355705180526507, 0.6425931310782753, 0.6726120251820237, 0.6521269271468676","1.2803317275154684, 1.2632041618955092, 1.3560146977289853, 1.4836490563757083, 1.4588015691709297, 1.3077797014030488, 1.6901802947953997, 1.251403720867018, 1.4294734211417957, 1.3835781078257445"
