No,date,Fa1,Fa2,Fa3,Fa5,Fa6,Fa7,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,FF,FF_pred
32742.0,20250312.0,0.07,0.1,0.83,3.0,0.0,1.63,2.0,10.0,5.0,0.4,0.0,0.0,1.0,0.2475,10.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,7.0,4681.0,33.0,9.0,194.0,110.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8723,75.72828
4264.0,20240928.0,0.08,0.15,0.77,2.6,0.4,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,10.0,6000.0,30.0,15.0,100.0,110.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.189,69.90741
14142.0,20241203.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,10.0,0.0,0.0,0.0,0.0,13.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.698,73.78759
10920.0,20241126.0,0.05,0.16,0.79,2.9,0.1,1.73,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.752,82.082985
27161.0,20250108.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,5.0,0.8,0.0,0.0,10.0,0.22,6.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.125,72.92071
35466.0,20250228.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,14.0,0.2475,1.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,12.0,5026.0,40.0,10.0,200.0,110.0,25.0,9.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,30.0,7.0,120.0,100.0,3.0,75.9827,75.708626
25802.0,20250106.0,0.05,0.16,0.79,2.9,0.1,1.73,2.0,7.0,6.0,0.7,0.0,0.0,9.0,0.0825,11.0,0.2475,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,10.0,5200.0,25.0,7.0,190.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5628,74.5445
33993.0,20250118.0,0.1,0.0,0.9,2.8,0.2,1.5,2.0,3.5,3.0,12.0,0.0,0.0,10.0,0.11,6.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,4700.0,30.0,8.0,200.0,115.0,30.0,9.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,25.0,10.0,120.0,110.0,5.0,74.7283,74.34393
39836.0,20250407.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.188571429,6.0,0.125714286,3.0,0.015714286,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.0,12.0,2.0,2.0,1.0,0.0,0.0,4900.0,30.0,9.0,130.0,100.0,5.0,81.7567,81.676636
37083.0,20250319.0,0.05,0.1,0.85,3.0,0.0,1.73,2.0,14.6,5.0,0.517,0.0,0.0,10.0,0.165,6.0,0.11,6.0,0.055,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,40.0,10.0,160.0,110.0,25.0,9.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,32.0,12.0,100.0,100.0,6.0,81.4345,82.10725
8982.0,20241121.0,0.05,0.16,0.79,2.9,0.1,1.73,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,5000.0,30.0,6.0,160.0,110.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.726,80.69018
