No,date,Fa1,Fa2,Fa3,Fa5,Fa6,Fa7,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,PCE_pred
44242,20250529,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.2,0,0.0,0,0.0,3000.0,30.0,100.0,10.0,1000,10,5000,40,10.0,160,110,25,11,1.0,0,0.0,0,0.0,0,0.0,4900.0,30.0,8.0,130.0,100.0,5.0,21.4885,22.437292
34688,20250211,0.1,0.0,0.9,2.8,0.2,1.5,2,3.5,3,12.0,0,0.0,13,0.11,11,0.22,0,0.0,0.0,0.0,0.0,0.0,1000,10,4700,35,8.0,200,115,30,10,1.4,0,0.0,0,0.0,0,0.0,4900.0,32.0,14.0,100.0,110.0,5.0,16.7902,17.393314
27006,20250108,0.1,0.0,0.9,2.8,0.2,1.5,2,3.5,3,12.0,0,0.0,9,0.132,6,0.198,0,0.0,0.0,0.0,0.0,0.0,1000,10,4700,30,8.0,200,115,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0169,19.439709
26131,20250106,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,7,0.7,0,0.0,10,0.132,1,0.198,0,0.0,0.0,0.0,0.0,0.0,2000,10,5000,30,8.0,250,100,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5216,17.72302
38222,20250326,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.18,6,0.12,4,0.03,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,16,4.5,0,0.0,0,0.0,0,0.0,4000.0,30.0,6.0,120.0,100.0,5.0,23.494,23.581627
37749,20250324,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.180327869,6,0.090163934,6,0.059508197,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,10,1.0,0,0.0,0,0.0,0,0.0,4100.0,30.0,12.0,100.0,100.0,5.0,22.576,23.388374
38296,20250326,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,6,0.066,7,0.066,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,16,4.5,0,0.0,0,0.0,0,0.0,4000.0,30.0,6.0,130.0,100.0,5.0,26.1562,24.184109
40463,20250409,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,2,1.0,10,0.188571429,6,0.125714286,3,0.015714286,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,3,0.4,0,0.0,5000.0,33.0,9.0,120.0,100.0,5.0,24.5068,23.724947
23673,20241227,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.5,0,0.0,10,0.11,11,0.22,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8509,18.31293
37443,20250321,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.165,6,0.11,7,0.055,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,10,1.0,0,0.0,0,0.0,0,0.0,4100.0,30.0,12.0,100.0,100.0,4.0,24.219,23.426449
44546,20250604,0.05,0.05,0.9,3.0,0.0,1.65,7,2.0,6,1.0,0,0.0,6,0.33,0,0.0,0,0.0,4000.0,20.0,100.0,10.0,1000,5,5500,30,10.0,150,110,15,1,1.0,0,0.0,0,0.0,0,0.0,4000.0,30.0,8.0,130.0,100.0,10.0,18.9426,19.001566
33858,20250117,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,35,15.0,200,110,15,11,1.0,0,0.0,0,0.0,0,0.0,5000.0,30.0,14.0,130.0,105.0,2.0,20.7549,20.172657
22722,20241224,0.05,0.16,0.79,2.9,0.1,1.73,5,1.2,2,5.0,0,0.0,11,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,6.0,160,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.238,17.320585
27461,20250109,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,14,0.2475,4,0.0825,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,6.0,170,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4976,19.299704
47367,20250422,0.05,0.05,0.9,3.0,0.0,1.5,2,12.66,8,20.8,0,0.0,7,0.2475,8,0.0825,0,0.0,4000.0,30.0,90.0,10.0,1000,10,5000,40,10.0,160,110,15,10,1.0,0,0.0,0,0.0,0,0.0,4000.0,30.0,6.0,100.0,90.0,5.0,25.0596,24.670137
32909,20250312,0.06,0.1,0.84,3.0,0.0,1.65,2,10.0,6,0.5,0,0.0,10,0.198,1,0.132,0,0.0,0.0,0.0,0.0,0.0,982,13,5053,34,13.0,168,110,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1523,19.982
38093,20250326,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.18,6,0.12,1,0.03,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,10,1.0,0,0.0,0,0.0,0,0.0,4100.0,30.0,12.0,100.0,100.0,5.0,23.7683,23.224745
28857,20250218,0.1,0.0,0.9,2.8,0.2,1.5,2,4.0,3,12.0,0,0.0,11,0.132,6,0.198,0,0.0,0.0,0.0,0.0,0.0,1000,15,4800,35,8.0,200,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1798,19.154333
39846,20250407,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.188571429,6,0.125714286,3,0.015714286,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,4,2.0,0,0.0,4900.0,30.0,9.0,130.0,100.0,5.0,24.6012,23.907837
38403,20250327,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,10,2.5,0,0.0,0,0.0,5000.0,33.0,11.0,100.0,100.0,7.0,19.315,21.512646
37177,20250320,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,0.25,7,0.75,0,0.0,0,0.0,5000.0,33.0,11.0,100.0,100.0,7.0,22.3863,21.639235
32492,20250312,0.06,0.1,0.84,3.0,0.0,1.65,2,14.6,6,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1122,10,5206,45,6.0,158,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7391,20.483545
30300,20250224,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.22,6,0.11,0,0.0,0.0,0.0,0.0,0.0,990,10,4900,30,7.0,160,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3591,20.891779
9840,20241122,0.15,0.15,0.7,2.85,0.15,1.3,0,0.0,0,0.0,0,0.0,1,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,12.0,160,100,45,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.521,15.912045
20033,20241218,0.05,0.16,0.79,2.9,0.1,1.73,2,3.5,1,2.7,0,0.0,10,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,6.0,160,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0822,17.438017
6515,20241019,0.15,0.25,0.6,2.85,0.15,1.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,10.0,120,100,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.966,14.127025
38127,20250326,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.165,6,0.11,1,0.055,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,16,4.5,0,0.0,0,0.0,0,0.0,4000.0,30.0,6.0,130.0,100.0,5.0,23.3571,23.259298
40318,20250409,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.188571429,6,0.125714286,3,0.015714286,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,4,2.0,0,0.0,5000.0,33.0,9.0,110.0,100.0,6.0,24.0986,24.07808
30095,20250224,0.1,0.0,0.9,2.8,0.2,1.5,2,3.5,3,12.0,0,0.0,10,0.11,6,0.22,0,0.0,0.0,0.0,0.0,0.0,980,10,4700,35,6.0,205,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.752,19.9644
29035,20250218,0.1,0.0,0.9,2.8,0.2,1.5,2,4.0,4,0.6,0,0.0,11,0.132,6,0.198,0,0.0,0.0,0.0,0.0,0.0,1200,10,5000,30,8.0,200,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6477,18.835726
27847,20250113,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,7,0.7,0,0.0,14,0.0825,6,0.2475,0,0.0,0.0,0.0,0.0,0.0,1000,15,5000,35,8.0,160,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3627,18.621304
39378,20250402,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,6,0.066,6,0.066,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,13,2.0,1,2.5,0,0.0,5000.0,30.0,10.0,100.0,100.0,5.0,23.8674,23.396908
45912,20250611,0.05,0.05,0.9,3.0,0.0,1.6,2,14.6,6,0.517,0,0.0,8,0.5,0,0.0,0,0.0,4000.0,30.0,100.0,10.0,1000,5,5500,30,10.0,150,110,15,8,0.5,0,0.0,0,0.0,0,0.0,4900.0,20.0,8.0,130.0,100.0,5.0,23.5087,21.63821
25617,20250105,0.05,0.16,0.79,2.9,0.1,1.73,6,0.72,1,2.3,0,0.0,11,0.11,6,0.22,0,0.0,0.0,0.0,0.0,0.0,1200,10,4800,40,6.0,190,105,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5026,18.84865
42567,20250414,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.188571429,6,0.125714286,3,0.015714286,3000.0,30.0,100.0,10.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,4,2.0,0,0.0,4900.0,30.0,8.0,130.0,100.0,5.0,25.7589,24.749249
39244,20250401,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,5,0.066,6,0.066,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,2,1.0,0,0.0,4100.0,30.0,12.0,100.0,100.0,4.0,22.1668,22.971458
3782,20240927,0.05,0.15,0.8,2.7,0.3,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,10.0,120,100,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.578,14.13581
28322,20250217,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.8,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1300,14,5400,45,8.0,210,105,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6926,20.334694
42561,20250414,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.188571429,6,0.125714286,3,0.015714286,3000.0,30.0,100.0,10.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,4,2.0,0,0.0,5000.0,33.0,9.0,120.0,100.0,5.0,25.3618,24.897867
45173,20250606,0.05,0.05,0.9,3.0,0.0,1.6,2,14.6,6,0.517,0,0.0,5,0.33,0,0.0,0,0.0,3000.0,30.0,100.0,10.0,1000,5,5500,30,10.0,150,110,15,8,0.5,0,0.0,0,0.0,0,0.0,3000.0,30.0,8.0,130.0,100.0,5.0,20.412,21.14104
31749,20250305,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.8,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1100,10,4900,35,10.0,180,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6367,20.659464
32894,20250312,0.06,0.1,0.84,3.0,0.0,1.65,2,10.0,6,0.5,0,0.0,10,0.198,1,0.132,0,0.0,0.0,0.0,0.0,0.0,980,7,4927,29,11.0,177,110,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3342,20.284767
18706,20241213,0.05,0.1,0.85,3.0,0.0,1.73,5,0.5,2,15.0,0,0.0,10,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9306,17.396444
32928,20250312,0.06,0.1,0.84,3.0,0.0,1.65,2,10.0,6,0.5,0,0.0,10,0.198,1,0.132,0,0.0,0.0,0.0,0.0,0.0,1134,7,4843,30,7.0,185,100,19,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.789,20.816906
30303,20250224,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,14,0.2475,1,0.0825,0,0.0,0.0,0.0,0.0,0.0,1000,10,4900,30,7.0,160,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9262,19.800488
26411,20250107,0.1,0.0,0.9,2.8,0.2,1.5,2,3.5,3,12.0,0,0.0,10,0.132,11,0.198,0,0.0,0.0,0.0,0.0,0.0,1500,15,5700,28,10.0,220,105,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9589,18.99469
20822,20241220,0.05,0.16,0.79,2.9,0.1,1.73,1,2.3,2,7.8,0,0.0,10,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,6.0,160,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4753,18.013744
40477,20250409,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,2,1.0,10,0.188571429,6,0.125714286,3,0.015714286,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,4,2.0,0,0.0,5000.0,33.0,9.0,110.0,100.0,6.0,23.8964,23.903233
13200,20241202,0.05,0.1,0.85,2.85,0.15,1.65,0,0.0,0,0.0,0,0.0,9,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,10.0,160,100,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.042,16.95232
29039,20250218,0.1,0.0,0.9,2.8,0.2,1.5,2,4.0,4,0.6,0,0.0,10,0.198,1,0.132,0,0.0,0.0,0.0,0.0,0.0,1100,10,5000,30,8.0,200,120,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8859,18.902498
24986,20250102,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.5,0,0.0,10,0.11,11,0.22,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,8.0,200,100,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9939,17.60836
44791,20250604,0.05,0.05,0.9,3.0,0.0,1.55,5,1.0,2,14.6,0,0.0,7,0.33,0,0.0,0,0.0,3000.0,30.0,100.0,10.0,1000,10,5000,40,10.0,160,120,13,10,1.0,0,0.0,0,0.0,0,0.0,4000.0,30.0,8.0,130.0,100.0,10.0,20.7976,20.876616
7474,20241024,0.05,0.15,0.8,2.9,0.1,1.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,10.0,120,100,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.786,14.835466
26601,20250107,0.05,0.16,0.79,2.9,0.1,1.73,6,0.72,1,2.3,0,0.0,13,0.198,11,0.132,0,0.0,0.0,0.0,0.0,0.0,1500,15,6000,40,6.0,220,105,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6788,19.415813
38113,20250326,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.165,6,0.11,1,0.055,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,10,1.0,0,0.0,0,0.0,0,0.0,4100.0,30.0,12.0,100.0,100.0,5.0,21.9881,23.190903
23478,20241227,0.1,0.0,0.9,2.8,0.2,1.5,2,3.5,3,12.0,0,0.0,13,0.198,11,0.132,0,0.0,0.0,0.0,0.0,0.0,1200,10,5000,30,8.0,200,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.545,18.808418
27822,20250113,0.05,0.16,0.79,2.9,0.1,1.73,6,0.72,1,2.3,0,0.0,11,0.11,6,0.22,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,15.0,200,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6332,17.789015
25496,20250104,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,6,0.8,0,0.0,10,0.132,1,0.198,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,45,12.0,180,115,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8321,18.53306
10516,20241125,0.1,0.2,0.7,2.75,0.25,1.38,0,0.0,0,0.0,0,0.0,4,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,950,10,5000,30,8.0,160,105,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.397,16.92152
36130,20250313,0.08,0.1,0.82,3.0,0.0,1.65,2,10.0,6,0.5,0,0.0,10,0.2475,1,0.0825,0,0.0,0.0,0.0,0.0,0.0,1054,5,5197,25,7.0,213,100,22,11,1.0,0,0.0,0,0.0,0,0.0,3500.0,30.0,10.0,80.0,90.0,4.0,22.1601,22.278618
33665,20250115,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,35,15.0,200,110,15,11,1.375,0,0.0,0,0.0,0,0.0,4000.0,30.0,12.0,150.0,120.0,13.0,17.8725,18.52252
40801,20250411,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,3,0.5,10,0.188571429,6,0.125714286,3,0.015714286,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,11,1.0,5,0.5,3,0.5,0,0.0,5000.0,33.0,9.0,110.0,100.0,6.0,23.0226,23.630705
39502,20250402,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,6,0.517,0,0.0,10,0.188571429,6,0.125714286,3,0.015714286,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,16,2.0,5,0.5,3,0.4,0,0.0,4900.0,31.0,14.0,120.0,100.0,5.0,22.0514,22.205202
23045,20241226,0.05,0.16,0.79,2.9,0.1,1.73,2,7.0,7,0.7,0,0.0,11,0.165,1,0.165,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,30,6.0,160,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4139,18.928156
