Date,Data volume,Feature size,Features,Algorithm,Seed,TrainR2_ave,TrainMSE_ave,CvR2_ave,CvMSE_ave,TestR2_ave,TestMSE_ave,TrainR2_std,TrainMSE_std,CvR2_std,CvMSE_std,TestR2_std,TestMSE_std,target,hyper_params,TestR2,TestMSE
20250710,2520,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",xgb,"8052, 5263, 1631, 1536, 675, 393, 2997, 3939, 6584, 6776",0.919,0.8841,0.8126,2.0327,0.818,1.9724,0.01,0.11,0.01,0.05,0.01,0.09,PCE,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}, {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}, {'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}, {'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}","0.8034925625881695, 0.808600975252236, 0.8308385054501768, 0.8251346557443102, 0.8319384384744282, 0.8071477049619477, 0.8129496687786104, 0.8037482005586865, 0.8143475706048857, 0.841842927031596","2.0059023523583948, 2.106734705748024, 1.980678167590568, 1.938399913535386, 1.8447080757293082, 2.0426922851281333, 1.9101909836845659, 2.1218441017393888, 1.905745429575669, 1.8669154994121586"
20250710,2520,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",svr,"3798, 9264, 8045, 5563, 402, 7109, 2962, 7352, 4473, 4802",0.8042,2.1408,0.7627,2.5867,0.756,2.6318,0.0,0.05,0.0,0.06,0.02,0.27,PCE,default,"0.7559367707875329, 0.7608099374709826, 0.7645031888870416, 0.7566251716759455, 0.7280753391227244, 0.7953854992564496, 0.7781852406456591, 0.773554415637029, 0.7116602250876061, 0.7352493105258657","2.7343733837770796, 2.459591495957303, 2.4035226815087167, 2.6257297466048235, 2.9953708623435955, 2.1929159178132713, 2.5441864392461446, 2.4632019808263443, 3.163653675261005, 2.735879956847859"
20250710,2520,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",mlp,"9098, 3621, 4526, 2204, 6035, 5394, 7853, 8812, 2657, 3894",0.8267,1.8865,0.7178,3.084,0.5188,5.5105,0.02,0.22,0.06,0.67,0.72,8.65,PCE,default,"0.763243838233046, 0.7650654094311219, 0.7435323742049256, -1.645584543015286, 0.7865607822270383, 0.7551882018966211, 0.7405179855619648, 0.7477156750502366, 0.7588275121427994, 0.7732458602000672","2.42653308409968, 2.539641689782018, 2.921367794500143, 31.454423441769997, 2.4564928833522073, 2.631523286340949, 3.088534645390935, 2.8020745375922687, 2.4916949730919344, 2.292489890454386"
20250710,2520,44,"Fa1, Fa2, Fa3, Fa5, Fa6, Fa7, Formula Additive 1, Concentration Additive 1, Formula Additive 2, Concentration Additive 2, Formula Additive 3, Concentration Additive 3, Formula SAM 1, Concentration SAM 1, Formula SAM 2, Concentration SAM 2, Formula SAM 3, Concentration SAM 3, Spin Coating Speed SAM, Spin Coating Time SAM, Annealed Temperature SAM, Annealed Time SAM, Spin Coating Speed PVK 1, Spin Coating Time PVK 1, Spin Coating Speed PVK 2, Spin Coating Time PVK 2, Antisolvent Dropping Timing, Antisolvent Volume, Annealed Temperature PVK, Annealed Time PVK, Formula Passivator 1, Concentration Passivator 1, Formula Passivator 2, Concentration Passivator 2, Formula Passivator 3, Concentration Passivator 3, Formula Passivator 4, Concentration Passivator 4, Spin Coating Speed Passivator, Spin Coating Time Passivator, Passivator Dropping Timing, Passivator Volume, Annealed Temperature Passivator, Annealed Time Passivator",lr,"1758, 8938, 1099, 2498, 5410, 9002, 6755, 9660, 5165, 9230",0.75,2.7289,0.7348,2.8883,0.7359,2.8662,0.01,0.06,0.01,0.05,0.03,0.25,PCE,default,"0.7476423137174006, 0.7163108242675285, 0.7704104503030849, 0.7428928543739274, 0.756434112727093, 0.7346651236293348, 0.7633603715634409, 0.7050689033927648, 0.7430949905198716, 0.6793651915379626","2.8945424081670286, 2.7655243218815673, 2.475042938654459, 2.6566684827871514, 2.8356755739866055, 2.8932724802703627, 2.725094773421076, 3.333898652284989, 2.7895138353903293, 3.2927458202323656"
