No,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,Product,Channel,From,upload_time
49625,20250723,164,Cs0.05MA0.08FA0.87PbI3.0,1.73,MACl,14.6,PEAI,0.517,,,4PADCB,0.248,2PACz,0.083,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,m-F-PEAI,2.0,,,,,,,5000,30,6,70,100,5,22.585,78.6013,1.10271,26.0573,1802,CH1,20250619.csv,
49705,20250724,165,Cs0.05MA0.1FA0.85PbI3.0,1.65,MACl,15.0,p-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,PEAI,0.5,PDADI,0.5,,,,,5000,30,6,70,100,5,25.0942,81.8073,1.15831,26.4823,1822,CH1,20250620.csv,
49727,20250724,165,Cs0.05MA0.08FA0.87PbI3.0,1.63,MACl,14.6,PEAI,0.517,,,4PADCB,0.248,2PACz,0.083,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,PEAI,1.0,,,,,,,5000,30,6,70,100,5,20.9565,75.8683,1.09397,25.2496,1827,CH3,20250620.csv,
49741,20250724,165,Cs0.05MA0.08FA0.87PbI3.0,1.63,MACl,14.6,PEAI,0.517,,,4PADCB,0.248,2PACz,0.083,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,PEABr,0.5,,,,,,,5000,30,6,70,100,5,23.1961,80.9637,1.09917,26.0651,1831,CH1,20250620.csv,
49749,20250725,166,Cs0.05MA0.1FA0.85PbI3.0,1.65,MACl,15.0,p-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,PDADI,0.5,,,,,,,5000,30,6,70,100,5,25.7614,84.8668,1.1862,25.5903,1833,CH1,20250623.csv,
49782,20250725,166,Cs0.05MA0.1FA0.85PbI3.0,1.65,MACl,15.0,p-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,6000,30,15,150,110,15,PDADI,0.5,,,,,,,5000,30,6,70,100,5,25.4599,83.7852,1.18522,25.6384,1841,CH2,20250623.csv,
49917,20250726,167,Cs0.05MA0.1FA0.85PbI3.0,1.65,MACl,15.0,p-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,5500,30,12,150,110,15,PDADI,0.5,,,,,,,5000,30,6,70,100,5,25.2687,81.158,1.18157,26.3506,1875,CH1,20250624-re.csv,
49957,20250726,167,Cs0.05MA0.1FA0.85PbI3.0,1.65,MACl,15.0,m-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,5500,30,12,150,110,15,PDADI,0.5,,,,,,,5000,30,6,70,100,5,25.5825,82.4162,1.17864,26.3359,1885,CH1,20250624-re.csv,
50009,20250727,168,Cs0.05MA0.1FA0.85PbI3.0,1.65,MACl,15.0,m-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,PDADI,0.5,,,,,,,5000,30,6,70,100,5,26.2531,82.9223,1.19423,26.5107,1898,CH1,20250626.csv,
50029,20250727,168,Cs0.05MA0.05FA0.9PbI3.0,1.65,MACl,15.0,m-F-PEACl,2.0,,,"4,4,4-NA",0.5,,,,,3000,30,100,10,1000,5,5500,30,15,150,110,15,PDADI,0.5,PiPI,0.15,,,,,5000,30,6,70,100,5,25.6185,81.3014,1.18446,26.6032,1903,CH1,20250626.csv,
