index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,gray_mean,pl_spectra_time_pvk_nucleation,PL_slop_30,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename,Unnamed: 51,Unnamed: 52,Unnamed: 53,No_y
22571,20241224,44,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,BSP,2.1,PEAI,0.6,,,Me-4PACz,0.33,,,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,17.98,70.64,1.08,23.52,,,,,264.4796338,0.257109183,Gonio_4-60_10min_RT-3_20250625-DoubleAdditives_1,,,,,,,22571
22826,20241224,44,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,BSP,2.3,MACl,7.8,,,Me-4PACz,0.33,,,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,18.0036,72.3867,1.0834,22.9568,,,,,193.8458794,0.365936475,Gonio_4-60_10min_RT-3_20250626-DoubleAdditives_2,,,,,,,22826
23166,20241226,45,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,MACl,7,PMACl,0.7,,,MeO-2PACz,0.2475,py3,0.0825,,,1000,10,5000,30,6,160,110,25,,,,,,,,,,,,,17.39,68.85,1.03934,24.3,,,,,285.6359326,0.243348013,Gonio_4-60_10min_RT-3_20250623-DoubleAdditives_5,,,,,,,23166
24319,20241230,47,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PEAI,0.5,,,py3,0.198,DMACPA,0.132,,,1000,10,5000,40,10,160,110,15,,,,,,,,,,,,,19.87,72.94,1.08048,25.21,,,,,129.1839396,0.304424218,Gonio_4-60_10min_RT-3_20250623-DoubleAdditives_1,,,,,,,24319
25238,20250103,50,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,MACl,3.5,PACl,12,,,MeO-4PADBC,0.11,py3,0.22,,,1000,10,4000,40,12,150,110,20,,,,,,,,,,,,,17.21,70.7,1.02822,23.68,,,,,326.8891861,0.25083629,Gonio_4-60_10min_RT-3_20250625-DoubleAdditives_6,,,,,,,25238
25648,20250105,52,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,PMACl,0.72,BSP,2.3,,,Me-4PACz,0.11,DMACPA,0.22,,,1000,15,5600,32,6,220,105,30,,,,,,,,,,,,,18.7,69.72,1.07933,24.85,,,,,251.2097888,0.281672572,Gonio_4-60_10min_RT-3_20250625-DoubleAdditives_12,,,,,,,25648
28967,20250218,59,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,MACl,4,PEABr,0.6,,,Me-2PACz,0.198,DMACPA,0.132,,,1000,10,4800,35,8,200,120,30,,,,,,,,,,,,,17.93,68.42,1.07357,24.41,,,,,268.6098219,0.252091646,Gonio_4-60_10min_RT-3_20250627-DoubleAdditives_11,,,,,,,28967
29042,20250218,59,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,MACl,4,PEABr,0.6,,,Me-4PACz,0.198,2PACz,0.132,,,1200,10,5000,30,8,200,120,30,,,,,,,,,,,,,17.26,105.08,0.688751,23.86,,,,,306.1973035,0.286737406,Gonio_4-60_10min_RT-3_20250623-DoubleAdditives_8,,,,,,,29042
29343,20250219,60,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PEAI,0.517,,,py3,0.0825,DMACPA,0.2475,,,1006,10,4822,35,8,160,110,25,,,,,,,,,,,,,18.56,70.69,1.0881,24.12,,,,,251.3946618,0.251326633,Gonio_4-60_10min_RT-3_20250624-DoubleAdditives_5,,,,,,,29343
29391,20250219,60,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PMACl,0.7,,,py3,0.0825,DMACPA,0.2475,,,1000,10,4800,35,10,180,110,25,,,,,,,,,,,,,17.31,64.9,1.09509,24.35,,,,,300.3416614,0.269390137,Gonio_4-60_10min_RT-3_20250626-DoubleAdditives_7,,,,,,,29391
29404,20250219,60,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PMACl,0.7,,,py3,0.0825,DMACPA,0.2475,,,998,10,4794,35,10,170,110,25,,,,,,,,,,,,,17.15,67.82,1.09517,23.09,,,,,355.8727299,0.256720057,Gonio_4-60_10min_RT-3_20250623-DoubleAdditives_7,,,,,,,29404
29917,20250220,61,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,MACl,4,PEABr,0.6,,,py3,0.165,2PACz,0.165,,,1195,10,5003,30,8,200,110,30,,,,,,,,,,,,,17.32,66.36,1.07407,24.29,,,,,298.2800185,0.230504317,Gonio_4-60_10min_RT-3_20250625-DoubleAdditives_2,,,,,,,29917
29960,20250220,61,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,MACl,3.5,PMACl,3,,,py3,0.165,2PACz,0.165,,,919,10,5046,40,10,204,110,30,,,,,,,,,,,,,17.26,67.98,1.10525,22.97,,,,,306.3142278,0.328122887,Gonio_4-60_10min_RT-3_20250623-DoubleAdditives_4,,,,,,,29960
30028,20250220,61,Cs0.1FA0.9Pb1I2.8Br0.2,1.5,MACl,3.5,PMACl,3,,,py3,0.0825,2PACz,0.2475,,,1017,10,4690,30,8,199,110,30,,,,,,,,,,,,,17.22,65.1,1.12841,23.44,,,,,325.3157563,0.230771237,Gonio_4-60_10min_RT-3_20250624-DoubleAdditives_9,,,,,,,30028
30481,20250224,62,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PEAI,0.517,,,py3,0.2475,2PACz,0.0825,,,1000,12,4800,40,10,200,110,25,,,,,,,,,,,,,19.39,69.89,1.1149,24.89,,,,,157.2038213,0.314540322,Gonio_4-60_10min_RT-3_20250626-DoubleAdditives_9,,,,,,,30481
31293,20250227,64,Cs0.05MA0.16FA0.79Pb1I2.9Br0.1,1.73,MACl,7,PMACl,0.7,,,py3,0.165,DMACPA,0.165,,,1221,10,5190,35,7,179,110,30,,,,,,,,,,,,,17.1,68.78,1.06649,24.86,,,,,569.9721074,0.241513402,20250618-DoubleAdditivesMAClPEAI_20,,,,,,,31293
31481,20250227,64,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,MACl,14.6,PEAI,0.8,,,Me-4PACz,0.198,DMACPA,0.132,,,1300,10,4800,35,11,190,110,30,,,,,,,,,,,,,19.7714,74.3481,1.12227,23.6957,,,,,231.0946997,0.287649362,Gonio_4-60_10min_RT-3_20250626-DoubleAdditives_1,,,,,,,31481
32108,20250310,66,Cs0.08FA0.82MA0.1Pb1I3,1.65,MACl,10,PEAI,0.5,,,Me-4PACz,0.2475,2PACz,0.0825,,,1000,10,5000,34,11,200,105,20,,,,,,,,,,,,,18.35,71.34,1.10463,23.29,,,,,258.967229,0.221230087,Gonio_4-60_10min_RT-3_20250625-DoubleAdditives_4,,,,,,,32108
32317,20250310,66,Cs0.07FA0.83MA0.1Pb1I3,1.63,MACl,14.6,PEAI,0.517,,,Me-4PACz,0.198,DMACPA,0.132,,,1000,10,5000,40,10,200,110,25,,,,,,,,,,,,,18.92,77.32,1.07629,22.74,,,,,197.8309194,0.331149039,Gonio_4-60_10min_RT-3_20250624-DoubleAdditives_4,,,,,,,32317
