index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,mean_RGB,VAR_RGB,gray_mean,gray_contrast,mean_B,mean_G,mean_R,var_B,var_G,var_R,filename,folder_date,date.1,defect_bright,defect_dark,defect_crack,defect_total,closest_color_name,Nucleation Onset Time After Spin Coating,Maximum PL Intensity,Time to Peak PL Intensity After Nucleation,max_column,10%decay_column,10%decay_value,10%slope,20%decay_column,20%decay_value,20%slope,30%decay_column,30%decay_value,30%slope,file_location,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_fhwm_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename_x,xrd_intensity_5.3,xrd_fhwm_5.3,xrd_intensity_5.3_filename,Unnamed: 90,Unnamed: 91,xrd_Stress_filename_y
961,20240913,3,Cs0.08MA0.12FA0.8Pb1I3.0,1.6,,,,,,,,,,,,,,,,,1000,15,4500,35,10,100,105,25,,,,,,,,,,,,,,,5.7551,52.315,0.74163,14.833,77.7,83.8493,355.1204,85.7198,18.6245,79.5895,87.4697,84.4887,338.746,340.2836,386.3317,expID20240913\Image\ԭͼ\15_-163942_.JPEG,20240913,20240913,101,7,1,109,dimgray,40,2065,31.2,9200,20000,1496,0.052685185,20000,1496,0.052685185,20000,1496,0.052685185,0913_1\GP_PL_20240913_135_135.csv,,,,,,,,,,,,,
969,20240913,3,Cs0.08MA0.12FA0.8Pb1I3.0,1.6,,,,,,,,,,,,,,,,,1200,15,4500,35,10,100,105,25,,,,,,,,,,,,,,,0.34987,331.14,0.011606,9.1036,82.7,88.4674,277.0987,90.5694,16.6041,83.3753,92.3183,89.7087,245.8532,274.6662,310.7766,expID20240913\Image\ԭͼ\16_-163956_.JPEG,20240913,20240913,93,22,1,116,dimgray,40,4340,28,6000,20000,1770,0.183571429,20000,1770,0.183571429,20000,1770,0.183571429,0913_1\GP_PL_20240913_136_136.csv,,,,,,,,,,,,,
1069,20240913,3,Cs0.05MA0.1FA0.85Pb1I3.0,1.9,,,,,,,,,,,,,,,,,1100,15,5000,35,20,120,105,50,,,,,,,,,,,,,,,15.675,78.525,0.97985,20.372,82.1,55.7376,275.7903,57.5089,16.3681,52.521,59.6798,55.012,266.9971,258.4719,301.9017,expID20240913\Image\ԭͼ\2_-190713_.JPEG,20240913,20240913,23,6,0,29,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,20240914,4,Cs0.2MA0.2FA0.6Pb1I2.9Br0.1,1.1,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,110,35,,,,,,,,,,,,,,,13.033,67.332,1.0388,18.634,84,63.4162,94.24,66.879,7.2772,43.9484,62.7754,83.5248,108.3388,48.9319,125.4494,expID20240914\Image\\2_-184313_.JPEG,20240914,20240914,19,7,4,30,darkolivegreen,30,0.982,32,10000,20000,0.827,0.0000155,20000,0.827,1.55e-05,20000,0.827,1.55e-05,0914_3\GP_PL_20240914_222_222.csv,,,,,,,,,,,,,
1422,20240914,4,Cs0.05MA0.18FA0.77Pb1I2.90Br0.1,1.52,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,105,30,,,,,,,,,,,,,,,0.055319,158.56,0.004229,8.2488,100,52.7105,81.2131,54.5686,7.768,45.808,54.5289,57.7947,78.532,52.104,113.0033,expID20240914\Image\\7_-184426_.JPEG,20240914,20240914,24,15,1,40,darkslategray,30,2.104,32.8,10800,20000,2.021,9.02174E-06,20000,2.021,9.02174e-06,20000,2.021,9.02174e-06,0914_3\GP_PL_20240914_227_227.csv,,,,,,,,,,,,,
1427,20240914,4,Cs0.05MA0.2FA0.75Pb1I2.9Br0.1,1.8,,,,,,,,,,,,,,,,,1000,10,4500,35,10,100,110,30,,,,,,,,,,,,,,,0.015839,137.55,0.00278,4.1424,89.1,78.7126,345.777,80.4789,18.3104,75.0455,82.3883,78.7041,343.4609,323.5602,370.3099,expID20240914\Image\ڶ\8_-162123_.JPEG,20240914,20240914,23,7,4,34,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,16.109,79.784,0.99187,20.356,15.2,103.7051,669.826,106.4956,25.2926,94.9631,107.8124,108.3397,690.187,646.0445,673.2465,expID20240919\Image\ԭͼ\10_-183817_.JPEG,20240919,20240919,12,5,5,22,dimgray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.84755,26.623,0.16806,18.943,78.4,51.5522,113.1726,53.8194,9.5779,42.9036,53.6778,58.0752,123.0943,87.7931,128.6305,expID20240919\Image\ԭͼ\12_-160426_.JPEG,20240919,20240919,27,12,2,41,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,14.492,72.884,1.0233,19.431,72.6,103.13,276.2452,105.2514,16.1131,97.2456,106.6564,105.4881,291.6026,264.1941,272.9388,expID20240919\Image\ԭͼ\9_-183803_.JPEG,20240919,20240919,14,17,14,45,dimgray,30,20019,32.6,10600,20000,3912,1.713510638,19600,3992,1.780777778,15800,5750,2.744038462,0919_3\GP_PL_20240919_289_289.csv,,,,,,,,,,,,,
1514,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,4.8289,35.352,0.70091,19.488,85.6,85.9108,451.4118,87.9894,21.1571,79.6967,89.0086,89.0269,463.1313,479.5806,411.5236,expID20240919\Image\ԭͼ\9_-134530_.JPEG,20240919,20240919,61,12,2,75,dimgray,30,57201,25,3000,20000,6186,3.000882353,16200,11086,3.493560606,14000,16840,3.669181818,0919_1\GP_PL_20240919_249_249.csv,,,,,,,,,,,,,
