index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,mean_RGB,VAR_RGB,gray_mean,gray_contrast,mean_B,mean_G,mean_R,var_B,var_G,var_R,filename,folder_date,date.1,defect_bright,defect_dark,defect_crack,defect_total,closest_color_name,Nucleation Onset Time After Spin Coating,Maximum PL Intensity,Time to Peak PL Intensity After Nucleation,max_column,10%decay_column,10%decay_value,10%slope,20%decay_column,20%decay_value,20%slope,30%decay_column,30%decay_value,30%slope,file_location,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_fhwm_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename_x,xrd_intensity_5.3,xrd_fhwm_5.3,xrd_intensity_5.3_filename,Unnamed: 90,Unnamed: 91,xrd_Stress_filename_y
1744,20240919,5,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.65311,183.09,0.031108,11.467,78.5,93.567,166.7309,94.684,12.7427,90.6624,95.7231,94.3154,153.5729,163.2515,183.3682,expID20240919\Image\ԭͼ\6_-183717_.JPEG,20240919,20240919,36,31,4,71,dimgray,30,3870,30,8000,20000,2696,0.097833333,20000,2696,0.097833333,20000,2696,0.097833333,0919_3\GP_PL_20240919_286_286.csv,,,,,,,,,,,,,
1746,20240919,5,Cs0.15MA0.15FA0.7Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.13678,128.87,0.010075,10.535,97.4,60.7991,225.051,62.5295,14.2475,56.003,63.645,62.7494,278.5449,213.4625,183.1456,expID20240919\Image\ԭͼ\7_-134459_.JPEG,20240919,20240919,41,15,2,58,darkslategray,30,57234,22.4,400,20000,5684,2.630102041,15200,11315,3.102635135,8400,16864,5.04625,0919_1\GP_PL_20240919_247_247.csv,,,,,,,,,,,,,
1758,20240919,5,Cs0.15MA0.15FA0.7Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.33746,32.417,0.061943,16.806,96.4,68.7722,280.1455,70.3128,16.1801,64.9707,71.6737,69.6721,322.877,267.2538,250.3058,expID20240919\Image\ԭͼ\7_-160311_.JPEG,20240919,20240919,46,17,7,70,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,20240920,6,Cs0.05MA0.0475FA0.9025Pb1I2.85Br0.15,1.7,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,110,15,,,,,,,,,,,,,,,15.595,73.957,0.9682,21.779,88.4,91.167,269.9604,92.4433,16.2452,87.9506,93.4643,92.086,265.1833,255.2527,289.4452,expID20240920\Image\ԭͼ\13_-175841_.JPEG,20240920,20240920,64,5,2,71,dimgray,40,,22,,,,,,,,,,,0920_3\GP_PL_20240920_353_353.csv,,,,,,,,,,,,,
1947,20240920,6,Cs0.05MA0.16FA0.79Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,110,25,,,,,,,,,,,,,,,1.7992,29.112,0.37073,16.671,38.2,99.2947,561.3741,101.6335,23.3195,92.5535,103.0008,102.3298,555.5606,553.2729,575.2888,expID20240920\Image\ԭͼ\16_-175925_.JPEG,20240920,20240920,56,15,11,82,dimgray,30,6126.37,28,6000,20000,2193.37,0.280928571,20000,2193.37,0.280928571,20000,2193.37,0.280928571,0920_3\GP_PL_20240920_356_356.csv,,,,,,,,,,,,,
2012,20240920,6,Cs0.05MA0.1FA0.85Pb1I2.85Br0.15,1.4,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,15.394,77.131,0.92779,21.512,86.9,54.9447,47.0402,56.7785,6.1122,48.7429,57.4539,58.6371,58.3065,35.7914,47.0227,expID20240920\Image\ԭͼ\19_-180008_.JPEG,20240920,20240920,2,4,4,10,darkslategray,30,33550.039,26.2,4200,13000,3281.037,3.439659318,8400,6709.037,6.390714762,6200,10050.037,11.750001,0920_3\GP_PL_20240920_359_359.csv,,,,,,,,,,,,,
2144,20240920,6,Cs0.1FA0.9Pb1I2.85Br0.15,1.8,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,110,40,,,,,,,,,,,,,,,15.994,76.856,0.98008,21.233,95.5,64.6936,303.3122,66.4479,15.9875,57.606,66.2069,70.2679,423.5701,290.398,195.9684,expID20240920\Image\ԭͼ\5_-175641_.JPEG,20240920,20240920,38,14,1,53,darkslategray,40,57275.977,22,0,14800,5588.977,3.492364865,9800,11245.977,4.696938776,8600,16047.977,4.793953488,0920_3\GP_PL_20240920_345_345.csv,,,,,,,,,,,,,
2164,20240920,6,Cs0.1MA0.19FA0.71Pb1I2.85Br0.15,1.6,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,110,40,,,,,,,,,,,,,,,15.206,77.674,0.95869,20.42,99.5,51.1904,106.4005,53.1155,8.2119,41.0347,51.3019,61.2348,97.8702,65.1909,156.1404,expID20240920\Image\ԭͼ\6_-152328_.JPEG,20240920,20240920,13,1,0,14,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,20240920,6,Cs0.1FA0.9Pb1I2.85Br0.15,1.8,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,110,50,,,,,,,,,,,,,,,14.261,75.718,0.95107,19.803,94.6,52.5769,80.2896,54.4676,8.1084,47.1244,55.5611,55.0452,94.5282,63.2597,83.0808,expID20240920\Image\ԭͼ\9_-152414_.JPEG,20240920,20240920,22,14,2,38,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,100,30,,,,,,,,,,,,,,,0.50846,31.157,0.091515,17.832,99.2,54.9891,132.0316,56.8392,9.9959,47.563,56.5703,60.8341,181.1213,114.0566,100.9167,expID20240924\Image\ԭͼ\1_-153111_.JPEG,20240924,20240924,15,3,1,19,darkslategray,20,57374.414,45.2,18200,20000,40801.414,9.207222222,20000,40801.414,9.207222222,20000,40801.414,9.207222222,0924_1\GP_PL_20240924_361_361.csv,,,,,,,,,,,,,
2251,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,100,30,,,,,,,,,,,,,,,8.5384,54.365,0.91815,17.106,75.6,68.2673,340.0727,70.074,17.1168,60.8917,69.8011,74.1089,461.1215,334.3624,224.7341,expID20240924\Image\ԭͼ\1_-174121_.JPEG,20240924,20240924,41,6,7,54,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,100,30,,,,,,,,,,,,,,,10.721,61.614,0.91697,18.977,88.6,70.1759,360.1369,71.8025,17.6695,63.9138,71.8638,74.7502,495.1349,352.8281,232.4475,expID20240924\Image\ԭͼ\1_-195922_.JPEG,20240924,20240924,30,32,2,64,darkslategray,20,57172.348,29.8,2800,16200,5589.348,3.849477612,12200,11069.348,4.904574468,10800,17073.348,5.012375,0924_3\GP_PL_20240924_401_401.csv,,,,,,,,,,,,,
2302,20240924,7,Cs0.02MA0.25FA0.73Pb1I2.81Br0.19,1.5,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,1.4077,30.669,0.3151,14.567,99.6,85.2087,135.3211,86.1614,11.2786,83.1825,87.2542,85.1894,141.0212,125.8739,139.0681,expID20240924\Image\ԭͼ\12_-200200_.JPEG,20240924,20240924,11,10,10,31,dimgray,30,57271.211,22,0,10000,5403.21,5.1868001,8800,10976.211,5.260795455,5400,17166.211,7.426851852,0924_3\GP_PL_20240924_412_412.csv,,,,,,,,,,,,,
2310,20240924,7,Cs0.05MA0.12FA0.83Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.34923,28.639,0.073487,16.594,89.6,65.0119,391.6371,66.6084,18.3781,59.0567,66.6085,69.3706,531.7658,374.9673,268.1782,expID20240924\Image\ԭͼ\13_-153404_.JPEG,20240924,20240924,12,13,2,27,darkslategray,30,57298.766,22,0,16200,5717.764,3.184012469,12200,11082.764,3.788196885,10800,16286.764,3.797407593,0924_1\GP_PL_20240924_373_373.csv,,,,,,,,,,,,,
2314,20240924,7,Cs0.05MA0.12FA0.83Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,2.1637,29.093,0.39823,18.676,85.9,69.1594,507.658,70.8751,20.9996,62.4561,70.7088,74.3134,699.7659,489.9095,333.2985,expID20240924\Image\ԭͼ\13_-174414_.JPEG,20240924,20240924,16,39,5,60,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,20240924,7,Cs0.05MA0.12FA0.83Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,5.2884,40.59,0.727,17.921,93.9,66.3822,396.8428,68.1761,18.0985,58.6763,67.6223,72.848,576.0593,374.5953,239.8738,expID20240924\Image\ԭͼ\13_-200214_.JPEG,20240924,20240924,25,11,2,38,darkslategray,30,57302.766,22,0,18200,5500.764,2.846263846,15400,11086.764,3.001039091,13400,17057.764,3.003358358,0924_3\GP_PL_20240924_413_413.csv,,,,,,,,,,,,,
2356,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,4000,25,15,120,100,20,,,,,,,,,,,,,,,0.16964,382.56,0.006647,6.6709,22.3,114.287,94.5525,115.7849,9.5465,110.527,116.9882,115.346,96.4792,89.1656,98.0126,expID20240924\Image\ԭͼ\16_-153445_.JPEG,20240924,20240924,0,3,0,3,dimgray,20,57319.766,27.2,200,11400,5714.764,4.607589464,9200,11351.764,5.107555778,5200,16783.764,8.1072004,0924_1\GP_PL_20240924_376_376.csv,,,,,,,,,,,,,
2364,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,4000,25,15,120,100,20,,,,,,,,,,,,,,,0.8653,28.904,0.25003,11.974,66,76.3141,685.4714,77.9751,25.433,71.3724,78.6761,78.8939,815.976,675.7658,564.6724,expID20240924\Image\ԭͼ\16_-200255_.JPEG,20240924,20240924,26,10,0,36,darkslategray,20,57377.414,28.4,1400,10200,5191.414,5.930227273,9600,9631.414,5.822682927,9400,12758.414,5.577375,0924_3\GP_PL_20240924_416_416.csv,,,,,,,,,,,,,
2365,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.35,,,,,,,,,,,,,,,,,1000,10,4000,25,15,120,100,20,,,,,,,,,,,,,,,0.38278,26.175,0.11711,12.487,37.1,83.3188,592.5995,84.7477,24.108,80.2214,86.0751,83.66,617.0836,578.5106,582.2044,expID20240924\Image\ԭͼ\16_-174455_.JPEG,20240924,20240924,8,1,0,9,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,20240924,7,Cs0.06MA0.13FA0.81Pb1I2.84Br0.16,1.35,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,20,,,,,,,,,,,,,,,6.6271,50.688,0.6942,18.834,98,57.956,157.3505,59.9732,10.2938,48.4147,58.7872,66.6662,222.555,118.7502,130.7463,expID20240924\Image\ԭͼ\19_-200336_.JPEG,20240924,20240924,25,11,3,39,darkslategray,30,57317.691,22,0,10400,4892.693,5.040865192,9600,11232.693,4.800520625,9200,14886.693,4.612065,0924_3\GP_PL_20240924_419_419.csv,,,,,,,,,,,,,
2417,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.072091,9261.8,0.64637,1.2042,92.6,83.676,361.7121,85.2255,18.6869,80.1499,86.7104,84.1676,378.5915,342.3521,364.1927,expID20240924\Image\ԭͼ\2_-153126_.JPEG,20240924,20240924,26,4,7,37,dimgray,30,57332.766,22,0,18800,5568.764,2.753404362,13000,11110.764,3.555538615,11000,15659.764,3.788454727,0924_1\GP_PL_20240924_362_362.csv,,,,,,,,,,,,,
2427,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.42525,26.868,0.11117,14.237,76.8,83.6241,242.2609,85.2599,15.2931,79.5741,86.6413,84.6568,252.1631,234.7286,239.8908,expID20240924\Image\ԭͼ\2_-195936_.JPEG,20240924,20240924,56,15,6,77,dimgray,30,57196.691,22,0,12400,5642.693,4.157580484,10600,10265.693,4.427452642,9000,16892.693,4.478222,0924_3\GP_PL_20240924_402_402.csv,,,,,,,,,,,,,
2430,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.38636,26.779,0.10161,14.199,78,72.5716,279.3228,74.1122,16.268,68.8823,75.4679,73.3646,311.8782,265.9581,260.1321,expID20240924\Image\ԭͼ\2_-174136_.JPEG,20240924,20240924,66,20,3,89,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,20240924,7,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,,,,,,,,,,,,,,,,,1000,10,5000,40,10,200,110,15,,,,,,,,,,,,,,,5.4519,33.515,0.81683,19.915,99.8,55.4609,37.9348,57.2785,5.3546,48.94,57.7105,59.7323,49.2416,26.4712,38.0916,expID20240924\Image\ԭͼ\20_-153539_.JPEG,20240924,20240924,5,8,6,19,darkslategray,40,33228.18,25.8,3800,20000,3621.18,1.827592593,8000,6563.18,6.348809524,5400,9843.18,14.615625,0924_1\GP_PL_20240924_380_380.csv,,,,,,,,,,,,,
2455,20240924,7,Cs0.05MA0.1FA0.85Pb1I2.85Br0.15,1.8,,,,,,,,,,,,,,,,,1000,10,5000,30,10,150,100,30,,,,,,,,,,,,,,,15.741,75.725,1.0063,20.658,35.7,59.962,179.8506,62.0603,12.7125,52.6021,62.4903,64.7936,168.319,150.7888,220.4441,expID20240924\Image\ԭͼ\3_-195951_.JPEG,20240924,20240924,10,10,2,22,darkslategray,30,1088.686,34.8,12800,20000,767.686,0.044583333,20000,767.686,0.044583333,20000,767.686,0.044583333,0924_3\GP_PL_20240924_403_403.csv,,,,,,,,,,,,,
2473,20240924,7,Cs0.15MA0.3FA0.55Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,15.217,76.252,1.0529,18.954,99.7,56.4097,37.5519,58.6119,4.5452,44.1611,56.206,68.862,55.2097,22.2616,35.1845,expID20240924\Image\ԭͼ\4_-153155_.JPEG,20240924,20240924,6,5,3,14,darkslategray,30,7041.984,31.6,9600,13600,651.984,1.5975,12600,1272.984,1.923,12200,1894.984,1.979615385,0924_1\GP_PL_20240924_364_364.csv,,,,,,,,,,,,,
2484,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,4000,30,10,120,100,30,,,,,,,,,,,,,,,0.057673,153.26,0.005869,6.4121,34,91.0751,282.8819,92.5834,16.7315,87.9785,94.2397,91.007,273.0305,271.9349,303.6802,expID20240924\Image\ԭͼ\5_-153210_.JPEG,20240924,20240924,29,2,0,31,dimgray,30,57343.977,22.6,600,20000,11864.977,2.344278351,20000,11864.977,2.344278351,15000,16851.977,2.811944444,0924_1\GP_PL_20240924_365_365.csv,,,,,,,,,,,,,
2491,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,4000,30,10,120,100,30,,,,,,,,,,,,,,,0.35394,25.75,0.10492,13.101,12.2,72.6187,662.6521,75.4508,25.1592,63.717,76.7203,77.4187,607.5027,633.0596,747.3939,expID20240924\Image\ԭͼ\5_-200020_.JPEG,20240924,20240924,73,29,5,107,darkslategray,30,57126.691,22,0,11400,5520.693,4.52684193,6400,10955.693,7.214218438,5400,16728.693,7.481110741,0924_3\GP_PL_20240924_405_405.csv,,,,,,,,,,,,,
2493,20240924,7,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,4000,30,10,120,100,30,,,,,,,,,,,,,,,0.11917,46.618,0.024366,10.491,38.1,80.3204,457.0373,82.276,20.7323,75.2351,83.7863,81.9398,478.0427,426.2116,466.8576,expID20240924\Image\ԭͼ\5_-174220_.JPEG,20240924,20240924,62,22,11,95,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,20240924,7,Cs0.05MA0.16FA0.79Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,9,5000,29,10,120,100,30,,,,,,,,,,,,,,,0.78256,26.68,0.18728,15.661,97.2,73.8912,386.4704,75.2736,18.7063,69.6332,75.8975,76.1429,490.6114,375.0255,293.7742,expID20240924\Image\ԭͼ\7_-174249_.JPEG,20240924,20240924,41,14,6,61,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,20240924,7,Cs0.01MA0.23FA0.76Pb1I2.84Br0.16,1.44,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,105,30,,,,,,,,,,,,,,,0.11595,102.81,0.011041,10.215,86.7,52.118,92.3099,53.6951,8.6704,48.1287,54.9006,53.3246,123.8759,76.5131,76.5407,expID20240924\Image\ԭͼ\8_-174303_.JPEG,20240924,20240924,14,7,5,26,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,20240924,7,Cs0.01MA0.23FA0.76Pb1I2.84Br0.16,1.44,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,105,30,,,,,,,,,,,,,,,4.23e-05,1063.7,0.050801,7.83e-05,98.7,78.9845,242.0075,79.953,15.0899,77.2578,81.1199,78.5759,262.9396,224.5588,238.5242,expID20240924\Image\ԭͼ\8_-153253_.JPEG,20240924,20240924,31,24,7,62,darkslategray,30,30305.836,29.6,7600,14400,3003.835,4.015000147,12000,6056.835,5.511136591,11200,8840.835,5.962500278,0924_1\GP_PL_20240924_368_368.csv,,,,,,,,,,,,,
2539,20240924,7,Cs0.01MA0.23FA0.76Pb1I2.84Br0.16,1.44,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,105,30,,,,,,,,,,,,,,,1.304,27.852,0.28,16.721,77.8,57.7546,339.0404,59.6281,16.8745,49.3298,58.7581,65.1758,505.5744,332.6601,178.8866,expID20240924\Image\ԭͼ\8_-200103_.JPEG,20240924,20240924,11,2,1,14,darkslategray,30,37386.93,41.6,19600,20000,37368.93,0.045,20000,37368.93,0.045,20000,37368.93,0.045,0924_3\GP_PL_20240924_408_408.csv,,,,,,,,,,,,,
2551,20240924,7,Cs0.01MA0.25FA0.74Pb1I2.83Br0.17,1.46,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.14723,120.1,0.011395,10.758,100,56.1269,75.3249,57.3466,8.1756,52.2359,57.7126,58.4322,96.7003,71.1046,58.1699,expID20240924\Image\ԭͼ\9_-153308_.JPEG,20240924,20240924,3,15,1,19,darkslategray,30,57268.766,22,0,12600,5500.764,4.108571587,10200,10800.764,4.555686471,9000,16635.764,4.514778,0924_1\GP_PL_20240924_369_369.csv,,,,,,,,,,,,,
2579,20240925,8,Cs0.1MA0.1FA0.8Pb1I2.8Br0.2,1.42,,,,,,,,,,,,,,,,,1000,10,5000,28,12,120,110,45,,,,,,,,,,,,,,,6.0832,60.116,0.66466,15.224,89.2,80.0436,629.5031,81.7345,24.5992,75.6549,82.985,81.4908,701.0589,621.0832,566.3671,expID20240925\Image\ԭͼ\1_-131100_.JPEG,20240925,20240925,26,3,5,34,darkslategray,26,57374.691,24,0,7000,5227.693,7.449571143,6600,8649.693,7.382575455,6400,13911.693,6.791093438,0925_1\GP_PL_20240925_421_421.csv,,,,,,,,,,,,,
2582,20240925,8,Cs0.1MA0.1FA0.8Pb1I2.8Br0.2,1.42,,,,,,,,,,,,,,,,,1000,10,5000,28,12,120,110,45,,,,,,,,,,,,,,,11.073,61.358,0.91569,19.708,89.6,96.8944,406.2582,98.5097,20.004,93.3398,99.985,97.3586,384.2647,400.6102,433.8995,expID20240925\Image\ԭͼ\1_-174958_.JPEG,20240925,20240925,76,6,9,91,dimgray,26,57320.766,24,0,7600,5674.764,6.795526579,6800,11455.764,6.744853235,6600,17105.764,6.093182121,0925_3\GP_PL_20240925_461_461.csv,,,,,,,,,,,,,
2604,20240925,8,Cs0.05MA0.2FA0.75Pb1I2.8Br0.2,1.4,,,,,,,,,,,,,,,,,1200,10,5000,30,10,200,110,30,,,,,,,,,,,,,,,17.1,83.402,0.97091,21.117,100,60.1347,35.3745,62.1452,4.6186,47.78,59.4595,73.1646,39.8537,17.7225,48.5473,expID20240925\Image\ԭͼ\10_-152932_.JPEG,20240925,20240925,1,8,2,11,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,20240925,8,Cs0.06MA0.14FA0.8Pb1I2.8Br0.2,1.4,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,115,30,,,,,,,,,,,,,,,5.2073,38.866,0.75457,17.756,86.7,72.9574,570.7234,74.9433,22.8351,65.1712,74.8324,78.8684,733.7668,585.3842,393.0192,expID20240925\Image\ԭͼ\11_-152947_.JPEG,20240925,20240925,20,24,2,46,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2625,20240925,8,Cs0.06MA0.14FA0.8Pb1I2.8Br0.2,1.4,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,115,30,,,,,,,,,,,,,,,2.6115,54.125,0.37755,12.78,79.4,88.0077,698.9571,89.987,25.9996,81.9589,90.9675,91.0967,789.9823,722.6356,584.2536,expID20240925\Image\ԭͼ\11_-131324_.JPEG,20240925,20240925,30,4,4,38,dimgray,20,57325.211,27,0,11400,5626.21,4.535000088,8000,10850.211,5.809375,7000,16308.211,5.859571429,0925_1\GP_PL_20240925_431_431.csv,,,,,,,,,,,,,
2631,20240925,8,Cs0.06MA0.14FA0.8Pb1I2.8Br0.2,1.4,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,115,30,,,,,,,,,,,,,,,10.703,64.86,0.92863,17.77,89,99.7561,493.75,101.7685,22.2532,94.4389,103.2847,101.5448,465.4481,501.7062,514.0957,expID20240925\Image\ԭͼ\11_-175232_.JPEG,20240925,20240925,71,4,14,89,dimgray,20,57338.664,27,0,12200,5715.662,4.231393607,8400,11335.662,5.476547857,7200,16633.662,5.6534725,0925_3\GP_PL_20240925_471_471.csv,,,,,,,,,,,,,
2647,20240925,8,Cs0.02MA0.18FA0.8Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,115,30,,,,,,,,,,,,,,,8.7119,51.734,0.94673,17.787,96.4,63.0149,375.2951,64.8146,17.9259,56.3093,64.9497,67.7856,521.6281,360.9123,243.345,expID20240925\Image\ԭͼ\12_-131338_.JPEG,20240925,20240925,22,8,0,30,darkslategray,20,48771.852,28.4,1400,9800,4715.85,5.244762143,7200,9554.85,6.761552069,6400,13980.85,6.9582004,0925_1\GP_PL_20240925_432_432.csv,,,,,,,,,,,,,
2651,20240925,8,Cs0.02MA0.18FA0.8Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,115,30,,,,,,,,,,,,,,,10.174,63.646,0.9076,17.613,83.6,63.75,401.977,65.7087,18.3336,55.1106,64.9977,71.1417,573.1072,382.952,249.8718,expID20240925\Image\ԭͼ\12_-153002_.JPEG,20240925,20240925,40,3,2,45,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,20240925,8,Cs0.02MA0.18FA0.8Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,115,30,,,,,,,,,,,,,,,12.396,70.248,0.96119,18.359,59,62.3505,453.1977,64.5604,19.637,52.9155,63.9622,70.174,636.3815,443.0654,280.1462,expID20240925\Image\ԭͼ\12_-175247_.JPEG,20240925,20240925,26,2,2,30,darkslategray,20,57294.977,28.4,1400,8400,5642.977,7.378857143,7200,10456.977,8.075517241,6600,17132.977,7.723461538,0925_3\GP_PL_20240925_472_472.csv,,,,,,,,,,,,,
2671,20240925,8,Cs0.01MA0.19FA0.8Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,120,30,,,,,,,,,,,,,,,3.2848,38.373,0.5686,15.055,76.1,87.3291,568.6374,88.9777,23.6183,82.6788,89.9605,89.3478,615.0364,582.9956,507.88,expID20240925\Image\ԭͼ\13_-131352_.JPEG,20240925,20240925,77,7,5,89,dimgray,20,41211.949,30,3000,11000,4008.949,4.650375,9200,7796.949,5.389516129,8400,11474.949,5.506851852,0925_1\GP_PL_20240925_433_433.csv,,,,,,,,,,,,,
2675,20240925,8,Cs0.01MA0.19FA0.8Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,120,30,,,,,,,,,,,,,,,4.9587,61.55,0.53424,15.08,68.9,83.7689,579.0049,85.4329,23.7219,78.9183,86.3613,86.0273,640.0045,587.1029,509.9072,expID20240925\Image\ԭͼ\13_-175302_.JPEG,20240925,20240925,25,20,4,49,dimgray,20,49448.348,30,3000,10200,4774.348,6.204722222,8400,9749.348,7.351666667,7800,13445.348,7.500625,0925_3\GP_PL_20240925_473_473.csv,,,,,,,,,,,,,
2680,20240925,8,Cs0.01MA0.19FA0.8Pb1I2.8Br0.2,1.35,,,,,,,,,,,,,,,,,1000,10,5000,25,15,120,120,30,,,,,,,,,,,,,,,4.1807,59.201,0.54843,12.877,96.8,89.1536,565.8058,90.6867,23.4032,84.8756,91.672,90.9131,631.1926,569.5871,496.6377,expID20240925\Image\ԭͼ\13_-153017_.JPEG,20240925,20240925,27,14,6,47,dimgray,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,20240925,8,Cs0.15MA0.15FA0.7Pb1I2.8Br0.2,1.5,,,,,,,,,,,,,,,,,800,10,4500,35,10,100,105,30,,,,,,,,,,,,,,,15.569,75.219,1.0149,20.393,96.9,59.1254,167.9913,60.5435,12.2537,55.0237,61.3982,60.9544,207.7919,162.1884,133.9935,expID20240925\Image\ԭͼ\14_-175317_.JPEG,20240925,20240925,17,10,2,29,darkslategray,35,5943.859,29.6,7600,20000,3795.859,0.173225806,20000,3795.859,0.173225806,20000,3795.859,0.173225806,0925_3\GP_PL_20240925_474_474.csv,,,,,,,,,,,,,
