index,date,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,From,Channel,Product,rank,group,area_px2,mean_RGB,VAR_RGB,gray_mean,gray_contrast,mean_B,mean_G,mean_R,var_B,var_G,var_R,filename_x,folder_date,date.1,defect_bright,defect_dark,defect_crack,defect_total,closest_color_name,Nucleation Onset Time After Spin Coating,Maximum PL Intensity,Time to Peak PL Intensity After Nucleation,max_column_x,10%decay_column,10%decay_value,10%slope,20%decay_column,20%decay_value,20%slope,30%decay_column,30%decay_value,30%slope,file_location,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_fhwm_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename_x,xrd_intensity_5.3,xrd_fhwm_5.3,xrd_intensity_5.3_filename,Unnamed: 90,Unnamed: 91,xrd_Stress_filename_y,Unnamed: 93,New,filename_y,max_value,max_column_y,90_decay_column,90_decay_time,90_decay_value,filename_y.1,max_value.1,max_column_y.1,10column,10value,30column,30value,V,src_No,src_filename_y,src_max_value,src_max_column_y,src_90_decay_column,peak_time,src_90_decay_value,src_filename_y.1,src_max_value.1,src_max_column_y.1,src_10column,src_10value,src_30column,src_30value,decay_slope,newid_spread
4115,20240928,Cs0.15MA0.1235FA0.7265Pb1I2.7Br0.3,1.65,,,,,,,,,,,,,1000,10,5000,40,10,120,100,20,,,,,,,,,,,,,,,2.96,30.04,0.56,17.68,v0,CH3,1029,11,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534,0924_1\GP_PL_20240924_368_368.csv,30305.836,7600,8600,8.6,26520.836,0924_1\GP_PL_20240924_368_368.csv,30305.836,7600,14400,3003.835,11200,8840.835,5.962500278,4115
6669,20241019,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,,,,,,,,,,,,,1000,10,5000,30,10,150,110,15,,,,,,,,,,,,,,,5.39,34.9,0.79,19.42,v0,CH1,1668,15,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8380,1120_2\GP_PL_20241120_13_61.csv,22690.697,7400,8600,8.6,19570.697,1120_2\GP_PL_20241120_13_61.csv,22690.697,7400,19800,2234.697,11000,6383.697,4.529722222,6669
7181,20241024,Cs0.1FA0.9Pb1I2.8Br0.2,1.8,,,,,,,,,,,,,1000,10,5000,40,10,120,110,30,,,,,,,,,,,,,,,4.46,47.92,0.52,17.98,v0,CH1,1796,16,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8708,1120_2\GP_PL_20241120_13_64.csv,26867.039,6600,8600,8.6,23549.039,1120_2\GP_PL_20241120_13_64.csv,26867.039,6600,19000,2537.039,11200,7699.039,4.166956522,7181
5114,20241009,Cs0.3MA0.7Pb1I2.5Br0.5,1.58,,,,,,,,,,,,,1000,10,5000,40,10,120,120,20,,,,,,,,,,,,,,,11.68,61.54,1.09,17.4,v0,CH2,1279,13,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5025,1009_4\GP_PL_20241009_71_71.csv,45337.57,4800,8000,8,40290.57,1009_4\GP_PL_20241009_71_71.csv,45337.57,4800,17000,4484.569,11200,12101.569,5.193125156,5114
267,20240911,Cs0.05MA0.15FA0.8Pb1I3.0,1.7,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,5.6,37.29,0.96,15.63,v0,CH3,67,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,0912_3\GP_PL_20240912_110_110.csv,47711,5800,7800,7.8,42753,0912_3\GP_PL_20240912_110_110.csv,47711,5800,18800,4709,12600,14040,4.951617647,267
1262,20240913,Cs0.2MA0.8Pb1I3.0,1.3,,,,,,,,,,,,,500,10,3500,30,10,100,110,40,,,,,,,,,,,,,,,0.41,21.02,1.02,1.92,v0,CH2,316,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,0912_1\GP_PL_20240912_66_66.csv,43726,6200,7800,7.8,39346,0912_1\GP_PL_20240912_66_66.csv,43726,6200,20000,7830,10600,12729,7.044772727,1262
1548,20240919,Cs0.01MA0.23FA0.76Pb1I2.85Br0.15,1.42,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,2.93,30.83,0.51,18.72,v0,CH4,387,5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,0912_3\GP_PL_20240912_108_108.csv,48307,6000,7800,7.8,42841,0912_3\GP_PL_20240912_108_108.csv,48307,6000,18000,4786,12600,13818,5.225606061,1548
3569,20240927,Cs0.1FA0.9Pb1I2.7Br0.3,1.6,,,,,,,,,,,,,600,10,4000,30,10,100,110,30,,,,,,,,,,,,,,,0.03,461.01,0,3.04,v0,CH1,893,10,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2364,0924_3\GP_PL_20240924_416_416.csv,57377.414,1400,7800,7.8,51199.414,0924_3\GP_PL_20240924_416_416.csv,57377.414,1400,10200,5191.414,9400,12758.414,5.577375,3569
2289,20240924,Cs0.02MA0.25FA0.73Pb1I2.81Br0.19,1.5,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0,0,0,1.94,v0,CH1,573,7,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,0913_3\GP_PL_20240913_169_169.csv,32897,6000,7600,7.6,29533,0913_3\GP_PL_20240913_169_169.csv,32897,6000,20000,5971,11400,9761,4.284444444,2289
4340,20240929,Cs0.05MA0.15FA0.8Pb1I2.55Br0.45,1.35,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,5.56,35.35,0.92,17.05,v0,CH4,1085,12,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,0926_1\GP_PL_20240926_490_490.csv,57283.977,0,7600,7.6,50911.977,0926_1\GP_PL_20240926_490_490.csv,57283.977,0,13800,5615.977,10200,16112.977,4.036372549,4340
6162,20241019,Cs0.05MA0.15FA0.8Pb1I2.95Br0.05,1.8,,,,,,,,,,,,,1000,10,5000,30,10,150,100,30,,,,,,,,,,,,,,,0.92,25.76,0.21,16.82,v0,CH2,1541,15,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7730,1119_2\GP_PL_20241119_13_61.csv,23574.771,6200,7600,7.6,21041.771,1119_2\GP_PL_20241119_13_61.csv,23574.771,6200,20000,4556.772,9600,6508.772,5.019411471,6162
7673,20241024,Cs0.15MA0.3FA0.55Pb1I2.85Br0.15,1.6,,,,,,,,,,,,,1000,10,5000,30,10,120,100,5,,,,,,,,,,,,,,,8.71,50.86,0.87,19.75,v0,CH1,1919,16,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30230,0224\GP_PL_20250224_46_46.csv,33569.434,6000,7600,7.6,29365.436,0224\GP_PL_20250224_46_46.csv,33569.434,6000,15200,3183.435,10200,9426.436,5.748332857,7673
18,20240911,Cs0.05MA0.15FA0.8Pb1I3.0,1.4,,,,,,,,,,,,,1000,10,4000,30,10,150,100,30,,,,,,,,,,,,,,,2.27,32.17,0.39,18.07,v0,CH2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,0911_1\GP_PL_20240911_8_8.csv,50412,7000,7400,7.4,45238,0911_1\GP_PL_20240911_8_8.csv,50412,7000,20000,10325,13600,15007,5.364393939,18
2819,20240925,Cs0.05MA0.05FA0.9Pb1I2.8Br0.2,1.6,,,,,,,,,,,,,1000,10,5000,40,10,120,110,20,,,,,,,,,,,,,,,11.8,60.6,1.02,19.17,v0,CH3,705,8,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,0920_1\GP_PL_20240920_315_315.csv,25723.037,5800,7400,7.4,22137.037,0920_1\GP_PL_20240920_315_315.csv,25723.037,5800,20000,2820.037,9400,7685.037,5.010555556,2819
5645,20241010,Cs0.15MA0.3FA0.55Pb1I2.4Br0.6,1.6,,,,,,,,,,,,,1000,10,4000,30,10,120,100,25,,,,,,,,,,,,,,,3.15,59.99,0.5,10.49,v0,CH1,1412,14,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7044,1024_3\GP_PL_20241024_3_43.csv,44421.977,6200,7400,7.4,38192.977,1024_3\GP_PL_20241024_3_43.csv,44421.977,6200,18600,4441.977,13800,13229.977,4.104210526,5645
770,20240912,Cs0.05MA0.1FA0.85Pb1I2.95Br0.05,1.75,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,13.89,67.46,0.99,20.78,v0,CH2,193,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,0912_3\GP_PL_20240912_105_105.csv,40945,6000,7200,7.2,34835,0912_3\GP_PL_20240912_105_105.csv,40945,6000,20000,5859,10600,11828,6.329782609,770
3059,20240926,Cs0.10MA0.20FA0.70Pb1I2.80Br0.20,1.4,,,,,,,,,,,,,900,10,5000,30,10,100,100,30,,,,,,,,,,,,,,,0,0,0.05,11.48,v0,CH3,765,9,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052,0920_1\GP_PL_20240920_320_320.csv,21306.836,5400,7200,7.2,17075.836,0920_1\GP_PL_20240920_320_320.csv,21306.836,5400,20000,2343.835,8800,6190.835,4.445882647,3059
3344,20240926,Cs0.05MA0.1FA0.85Pb1I2.8Br0.2,1.65,,,,,,,,,,,,,1000,10,5000,30,10,120,100,15,,,,,,,,,,,,,,,14.1,74.62,0.98,19.27,v0,CH4,836,9,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,0920_3\GP_PL_20240920_360_360.csv,21562.369,5800,7200,7.2,19131.369,0920_3\GP_PL_20240920_360_360.csv,21562.369,5800,20000,3204.37,9600,5965.37,4.104473421,3344
4604,20241009,Cs0.07MA0.1FA0.83Pb1I2.5Br0.5,1.8,,,,,,,,,,,,,1000,10,5000,28,12,100,100,30,,,,,,,,,,,,,,,0.01,52.18,0,5.2,v0,CH4,1151,13,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3562,0927_3\GP_PL_20240927_590_590.csv,13012.361,6600,7200,7.2,11182.361,0927_3\GP_PL_20240927_590_590.csv,13012.361,6600,9400,1276.362,8600,3151.362,4.9304995,4604
