differing_column,row1_index,row2_index,condition_case
Formula Passivator 1,25648,33437,row1
Formula Passivator 1,25648,34018,row1
Formula Passivator 1,25648,34481,row1
Formula Passivator 1,25648,34489,row1
Formula Passivator 1,25648,34495,row1
Formula Passivator 1,25648,34525,row1
Formula Passivator 1,31293,33201,row1
Formula Passivator 1,31293,33419,row1
Formula Passivator 1,31293,33437,row1
Formula Passivator 1,31293,34018,row1
Formula Passivator 1,31293,34481,row1
Formula Passivator 1,31293,34489,row1
Formula Passivator 1,31293,34495,row1
Formula Passivator 1,31293,34525,row1
Formula Passivator 1,19296,34287,row1
Formula Passivator 1,19296,34296,row1
Formula Passivator 1,19296,34320,row1
Formula Passivator 1,19296,34323,row1
Formula Passivator 1,19296,34331,row1
Formula Passivator 1,19296,34335,row1
Formula Passivator 1,19319,34287,row1
Formula Passivator 1,19319,34296,row1
Formula Passivator 1,19319,34320,row1
Formula Passivator 1,19319,34323,row1
Formula Passivator 1,19319,34331,row1
Formula Passivator 1,19319,34335,row1
Formula Passivator 1,19419,34287,row1
Formula Passivator 1,19419,34320,row1
Formula Passivator 1,19419,34323,row1
Formula Passivator 1,19419,34331,row1
Formula Passivator 1,19419,34335,row1
Formula Passivator 1,20005,34287,row1
Formula Passivator 1,20005,34296,row1
Formula Passivator 1,20005,34320,row1
Formula Passivator 1,20005,34323,row1
Formula Passivator 1,20005,34331,row1
Formula Passivator 1,20005,34335,row1
Formula Passivator 1,22754,34287,row1
Formula Passivator 1,22754,34320,row1
Formula Passivator 1,22754,34323,row1
Formula Passivator 1,22754,34331,row1
Formula Passivator 1,22754,34335,row1
Formula Passivator 1,24319,34335,row1
Formula Passivator 1,29343,34287,row1
Formula Passivator 1,29343,34296,row1
Formula Passivator 1,29343,34320,row1
Formula Passivator 1,29343,34323,row1
Formula Passivator 1,29343,34331,row1
Formula Passivator 1,29343,34335,row1
Formula Passivator 1,29391,34287,row1
Formula Passivator 1,29391,34296,row1
Formula Passivator 1,29391,34320,row1
Formula Passivator 1,29391,34323,row1
Formula Passivator 1,29391,34331,row1
Formula Passivator 1,29391,34335,row1
Formula Passivator 1,29404,34287,row1
Formula Passivator 1,29404,34296,row1
Formula Passivator 1,29404,34320,row1
Formula Passivator 1,29404,34323,row1
Formula Passivator 1,29404,34331,row1
Formula Passivator 1,29404,34335,row1
Formula Passivator 1,30481,34331,row1
Formula Passivator 1,30481,34335,row1
Formula Passivator 1,31481,34335,row1
Formula Passivator 1,19296,34367,row1
Formula Passivator 1,19296,34370,row1
Formula Passivator 1,19296,34389,row1
Formula Passivator 1,19296,34395,row1
Formula Passivator 1,19319,34367,row1
Formula Passivator 1,19319,34370,row1
Formula Passivator 1,19319,34389,row1
Formula Passivator 1,19319,34395,row1
Formula Passivator 1,19419,34367,row1
Formula Passivator 1,19419,34370,row1
Formula Passivator 1,19419,34395,row1
Formula Passivator 1,20005,34367,row1
Formula Passivator 1,20005,34370,row1
Formula Passivator 1,20005,34389,row1
Formula Passivator 1,20005,34395,row1
Formula Passivator 1,22754,34367,row1
Formula Passivator 1,22754,34370,row1
Formula Passivator 1,22754,34395,row1
Formula Passivator 1,24319,34367,row1
Formula Passivator 1,24319,34370,row1
Formula Passivator 1,29343,34367,row1
Formula Passivator 1,29343,34370,row1
Formula Passivator 1,29343,34395,row1
Formula Passivator 1,29391,34367,row1
Formula Passivator 1,29391,34370,row1
Formula Passivator 1,29391,34389,row1
Formula Passivator 1,29391,34395,row1
Formula Passivator 1,29404,34367,row1
Formula Passivator 1,29404,34370,row1
Formula Passivator 1,29404,34389,row1
Formula Passivator 1,29404,34395,row1
Formula Passivator 1,30481,34367,row1
Formula Passivator 1,30481,34370,row1
Formula Passivator 1,30481,34395,row1
Formula Passivator 1,31481,34367,row1
Formula Passivator 1,31481,34370,row1
Formula Passivator 1,19296,34270,row1
Formula Passivator 1,19296,34865,row1
Formula Passivator 1,19319,34270,row1
Formula Passivator 1,19319,34865,row1
Formula Passivator 1,19419,34270,row1
Formula Passivator 1,19419,34865,row1
Formula Passivator 1,20005,34270,row1
Formula Passivator 1,20005,34865,row1
Formula Passivator 1,22754,34270,row1
Formula Passivator 1,22754,34865,row1
Formula Passivator 1,24319,34270,row1
Formula Passivator 1,24319,34865,row1
Formula Passivator 1,29343,34270,row1
Formula Passivator 1,29343,34865,row1
Formula Passivator 1,29391,34270,row1
Formula Passivator 1,29391,34865,row1
Formula Passivator 1,29404,34270,row1
Formula Passivator 1,29404,34865,row1
Formula Passivator 1,30481,34270,row1
Formula Passivator 1,30481,34865,row1
Formula Passivator 1,31481,34270,row1
Formula Passivator 1,31481,34865,row1
Formula Passivator 1,37935,38890,row1
Formula Passivator 1,37935,38898,row1
Formula Passivator 1,37935,39591,row1
Formula Passivator 1,37935,39674,row1
Formula Passivator 1,37935,39815,row1
Formula Passivator 1,37935,40250,row1
Formula Passivator 1,37935,40298,row1
Formula Passivator 1,37935,40338,row1
Formula Passivator 1,37906,37994,row1
Formula Passivator 1,19962,34697,row1
Formula Passivator 1,19986,34697,row1
Formula Passivator 1,20974,34697,row1
Formula Passivator 1,21810,34697,row1
Formula Passivator 1,22658,34697,row1
Formula Passivator 1,25238,34697,row1
Formula Passivator 1,28967,34697,row1
Formula Passivator 1,29042,34697,row1
Formula Passivator 1,29917,34697,row1
Formula Passivator 1,29960,34697,row1
Formula Passivator 1,30028,34697,row1
Formula Passivator 1,19946,33061,row1
Formula Passivator 1,19946,33990,row1
Formula Passivator 1,19946,33998,row1
Formula Passivator 1,19962,33061,row1
Formula Passivator 1,19962,33990,row1
Formula Passivator 1,19962,33998,row1
Formula Passivator 1,19986,33061,row1
Formula Passivator 1,19986,33990,row1
Formula Passivator 1,19986,33998,row1
Formula Passivator 1,20974,33061,row1
Formula Passivator 1,20974,33137,row1
Formula Passivator 1,20974,33145,row1
Formula Passivator 1,20974,33990,row1
Formula Passivator 1,20974,33998,row1
Formula Passivator 1,21810,33061,row1
Formula Passivator 1,21810,33137,row1
Formula Passivator 1,21810,33145,row1
Formula Passivator 1,21810,33990,row1
Formula Passivator 1,21810,33998,row1
Formula Passivator 1,22658,33061,row1
Formula Passivator 1,22658,33137,row1
Formula Passivator 1,22658,33145,row1
Formula Passivator 1,22658,33990,row1
Formula Passivator 1,22658,33998,row1
Formula Passivator 1,25238,33061,row1
Formula Passivator 1,25238,33137,row1
Formula Passivator 1,25238,33145,row1
Formula Passivator 1,25238,33990,row1
Formula Passivator 1,25238,33998,row1
Formula Passivator 1,28967,33061,row1
Formula Passivator 1,28967,33137,row1
Formula Passivator 1,28967,33145,row1
Formula Passivator 1,28967,33990,row1
Formula Passivator 1,28967,33998,row1
Formula Passivator 1,29042,33061,row1
Formula Passivator 1,29042,33137,row1
Formula Passivator 1,29042,33145,row1
Formula Passivator 1,29042,33990,row1
Formula Passivator 1,29042,33998,row1
Formula Passivator 1,29917,33061,row1
Formula Passivator 1,29917,33137,row1
Formula Passivator 1,29917,33145,row1
Formula Passivator 1,29917,33990,row1
Formula Passivator 1,29917,33998,row1
Formula Passivator 1,29960,33061,row1
Formula Passivator 1,29960,33137,row1
Formula Passivator 1,29960,33145,row1
Formula Passivator 1,29960,33990,row1
Formula Passivator 1,29960,33998,row1
Formula Passivator 1,30028,33061,row1
Formula Passivator 1,30028,33137,row1
Formula Passivator 1,30028,33145,row1
Formula Passivator 1,30028,33990,row1
Formula Passivator 1,30028,33998,row1
Formula Passivator 2,38474,38489,row2
Formula Passivator 2,38474,38493,row2
Formula Passivator 2,34270,37935,row1
Formula Passivator 2,34270,37994,row1
Formula Passivator 2,34865,37935,row1
Formula Passivator 2,34865,37994,row1
Formula Passivator 2,38329,38354,row1
Formula Passivator 2,38329,38890,row1
Formula Passivator 2,37177,38329,row2
Formula Passivator 2,37189,38329,row2
Formula Passivator 2,38032,38329,row2
Formula Passivator 2,38047,38329,row2
Formula Passivator 2,38063,38329,row2
Formula Passivator 2,38329,38382,row1
Formula Passivator 2,38329,38370,row1
Formula Passivator 2,38329,38654,row1
Formula Passivator 2,38329,38686,row1
Formula Passivator 2,38329,38694,row1
Formula Passivator 2,38329,38774,row1
Formula Passivator 2,38329,38781,row1
Formula Passivator 2,38329,38986,row1
Formula Passivator 2,38329,38997,row1
Formula Passivator 2,37213,37247,row1
Formula Passivator 2,37247,38370,row1
Formula Passivator 2,37247,38654,row1
Formula Passivator 2,37247,38686,row1
